#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      488.4   578.0    68.9   118.3   138.0   306.6   404.0   483.6   573.3   807.1  1316.8  1705.0  2207.4  4159.3 15162.1  60065.8    60040  1622035288098  1622035298370
read      484.0   625.6    68.9   112.6   130.7   300.4   396.0   459.4   516.3   614.9  1327.9  1925.6  2461.0  4036.7 15706.3  60082.9    60050  1622035299872  1622035310138
read      504.6   596.3    68.9   116.9   136.7   308.7   416.8   514.5   627.0   941.2  1363.1  1708.3  2216.0  3935.0 16095.3  60047.7    60060  1622035311640  1622035321897
read      564.9   963.9    68.9   119.2   141.9   331.7   436.0   537.3   655.4  1042.9  1483.3  1847.0  2504.6 12755.6 31926.2  60092.8    60070  1622035323400  1622035333654
read      522.5   920.5    68.9   110.8   130.9   310.1   399.6   466.3   533.8   667.0  1448.1  1949.1  2538.9 11328.9 31683.4  60088.0    60080  1622035335156  1622035345418
read      522.0   792.6    68.9   115.5   136.0   312.3   412.7   497.5   594.4   909.3  1402.8  1770.7  2332.0  8892.7 30483.9  59884.1    60090  1622035346920  1622035357176
read      522.2   689.7    68.9   115.5   138.0   321.0   419.1   493.9   571.7   800.1  1409.4  1905.2  2500.6  5456.9 19785.2  60148.6    60100  1622035358679  1622035368932
read      566.7   948.4    68.9   112.6   136.8   335.6   422.9   489.4   553.2   692.7  1659.3  2133.9  2778.4 11123.5 32491.6  59947.1    60110  1622035370434  1622035380683
read      493.2   791.9    68.9   107.5   125.5   294.4   382.4   443.6   495.2   575.8  1384.4  2005.3  2554.5  8070.7 30878.0  60215.6    60120  1622035382185  1622035392449
read      543.7  1074.5    74.4   116.4   138.9   319.9   414.2   492.0   572.0   775.5  1380.7  1859.6  2508.9 12889.8 35182.4  60160.2    60130  1622035393951  1622035404205
read      532.5   845.4    68.9   114.9   136.6   312.4   411.6   495.5   589.9   874.3  1426.8  1816.7  2483.3 11167.2 30888.8  60013.3    60140  1622035405707  1622035415961
read      570.0   832.1    68.9   121.9   148.2   345.4   441.4   525.9   620.7   934.5  1535.2  2000.1  2701.6  8165.2 31066.4  60095.7    60150  1622035417463  1622035427716
read      487.9   607.2    68.9   117.6   137.9   304.4   397.7   472.3   550.6   745.3  1294.7  1742.9  2329.7  4513.5 16008.4  60127.6    60160  1622035429218  1622035439483
read      489.2   543.6    68.9   121.8   143.2   309.3   406.1   487.9   583.5   817.9  1293.8  1706.4  2210.2  3056.3 13554.4  60056.2    60170  1622035440985  1622035451246
